lat,lng,level,observed
54.3185633645,18.5577750206,2,2013-03-14 19:13:00
54.3476773,18.561809063,2,2013-03-15 08:27:00
54.319477007,18.5652422905,5,2013-03-15 08:25:00
54.3194895226,18.5654783249,5,2013-03-15 08:26:00
54.3232064605,18.5939311981,4,2013-03-15 06:00:00
54.3770330849,18.5882663727,2,2013-02-21 08:30:00
54.3012879493,18.5785031319,3,2013-03-13 08:31:00
54.3292254355,18.5933303833,1,2013-03-15 08:35:00
54.3414483761,18.564426899,3,2013-03-09 20:37:00
54.3216421336,18.5666155815,1,2013-03-15 08:35:00
54.3050190514,18.5692119598,3,2013-03-15 08:38:00
54.3213918358,18.5728812218,4,2013-03-13 19:38:00
54.3158473486,18.5689544678,4,2013-03-15 08:40:00
54.3191265712,18.5537624359,5,2013-03-13 19:41:00
54.3308770584,18.6097884178,2,2013-03-01 06:39:00
54.2815625809,18.4915351868,3,2013-03-10 11:00:00
54.3319530801,18.6043381691,3,2013-03-11 08:44:00
54.2727927178,18.6139297485,1,2013-03-15 08:49:00
54.3182254368,18.5623025894,4,2013-03-14 18:46:00
54.3013572322,18.6329841614,3,2013-03-14 08:47:00
54.3308895704,18.6011838913,2,2013-03-13 18:48:00
54.3189888992,18.5809063911,2,2013-03-12 21:00:00
54.321341776,18.5720014572,4,2013-03-14 17:00:00
54.3451508222,18.8264465332,1,2013-03-15 08:56:00
54.3541553799,18.7776947021,5,2013-03-15 08:56:00
54.274647073,18.6771011353,1,2013-03-15 09:00:00
54.3549056707,18.4900760651,1,2013-01-17 13:00:00
54.3423490018,18.6190795898,1,2013-02-07 20:00:00
54.3200527166,18.5779452324,5,2013-03-13 21:00:00
54.354330449,18.5865068436,3,2013-03-11 09:07:00
54.360357372,18.5788249969,3,2013-03-11 09:07:00
54.3227809695,18.5770654678,1,2013-03-15 09:10:00
54.3206033877,18.5483980179,3,2013-03-15 09:13:00
54.3511915975,18.6066126823,1,2013-03-05 08:13:00
54.3273985632,18.582880497,2,2013-03-13 20:15:00
54.3274736417,18.5830950737,2,2013-03-14 07:15:00
54.3300887921,18.6270618439,3,2013-03-13 20:19:00
54.3193393362,18.5784387589,1,2013-03-14 18:00:00
54.3198524707,18.5661649704,3,2013-03-13 20:19:00
54.3157722488,18.5686540604,3,2013-03-15 09:22:00
54.3184382065,18.5799193382,4,2013-03-13 20:28:00
54.3319405683,18.5581612587,4,2013-01-15 09:00:00
54.3371701347,18.6053466797,2,2013-03-15 09:24:00
54.3188798041,18.5473895073,5,2013-03-15 09:25:00
